lemma,translation,paradigm,difficulty,categories
pes,dog,pán,A1,animals
den,day,hrad,A1,time
dítě,child,kuře,A1,family
chléb,bread,hrad,A1,food
oko,eye,město,A1,body
ucho,ear,město,A1,body
člověk,person,pán,A1,"misc,people"
muž,man,muž,A1,family
chlapec,boy,pán,A1,family
student,student,pán,A1,"misc,people"
přítel,friend,muž,A1,"misc,people"
bratr,brother,pán,A1,family
otec,father,pán,A1,family
syn,son,pán,A1,family
kocour,tomcat,pán,A1,animals
dům,house,hrad,A1,places
stůl,table,hrad,A1,objects
stromek,small tree,hrad,A2,nature
sešit,notebook,hrad,A1,objects
telefon,phone,hrad,A1,objects
počítač,computer,stroj,A1,objects
vlak,train,hrad,A1,transportation
autobus,bus,hrad,A1,transportation
most,bridge,hrad,A1,places
park,park,hrad,A1,places
les,forest,hrad,A1,nature
hrad,castle,hrad,A1,places
hotel,hotel,hrad,A1,places
obchod,shop,hrad,A1,places
žena,woman,žena,A1,family
matka,mother,žena,A1,family
dcera,daughter,žena,A1,family
sestra,sister,žena,A1,family
přítelkyně,girlfriend,růže,A1,family
kniha,book,žena,A1,objects
škola,school,žena,A1,places
ulice,street,růže,A1,places
vesnice,village,růže,A1,places
kavárna,cafe,žena,A1,places
restaurace,restaurant,růže,A1,places
místnost,room,kost,A1,places
kočka,cat,žena,A1,animals
růže,rose,růže,A1,nature
věc,thing,kost,A1,misc
práce,work,růže,A1,misc
radost,joy,kost,A1,"misc,abstract"
noc,night,kost,A1,time
věž,tower,růže,A1,places
tramvaj,tram,růže,A1,transportation
město,city,město,A1,places
moře,sea,moře,A1,nature
okno,window,město,A1,objects
kuře,chicken,kuře,A1,animals
děvče,girl,kuře,A1,family
kino,cinema,město,A1,places
nádraží,station,stavení,A1,places
náměstí,square,stavení,A1,places
auto,car,město,A1,transportation
pivo,beer,město,A1,food
víno,wine,město,A1,food
jídlo,food,město,A1,food
maso,meat,město,A1,food
jablko,apple,město,A1,food
slovo,word,město,A1,misc
gymnázium,high school,město,A2,places
muzeum,museum,město,A1,places
pero,pen,město,A1,objects
tužka,pencil,žena,A1,objects
papír,paper,hrad,A1,objects
zápisník,notepad,hrad,A2,objects
taška,bag,žena,A1,objects
kabelka,handbag,žena,A2,objects
bota,shoe,žena,A1,objects
košile,shirt,růže,A1,objects
hlava,head,žena,A1,body
ruka,hand,žena,A1,body
noha,leg,žena,A1,body
nos,nose,hrad,A1,body
srdce,heart,moře,A1,body
mléko,milk,město,A1,food
sýr,cheese,hrad,A1,food
máslo,butter,město,A1,food
ryba,fish,žena,A1,food
vejce,egg,moře,A1,food
káva,coffee,žena,A1,food
čaj,tea,stroj,A1,food
voda,water,žena,A1,food
týden,week,hrad,A1,time
měsíc,month,hrad,A1,time
rok,year,hrad,A1,time
hodina,hour,žena,A1,time
minuta,minute,žena,A1,time
rodina,family,žena,A1,family
babička,grandmother,žena,A1,family
dědeček,grandfather,pán,A1,family
strýc,uncle,pán,A1,family
teta,aunt,žena,A1,family
manžel,husband,pán,A1,family
manželka,wife,žena,A1,family
strom,tree,hrad,A1,nature
květ,blossom,hrad,A1,nature
tráva,grass,žena,A1,nature
hora,mountain,žena,A1,"nature,places"
řeka,river,žena,A1,nature
jezero,lake,město,A1,nature
slunce,sun,moře,A1,nature
hvězda,star,žena,A1,nature
obloha,sky,žena,A1,nature
život,life,hrad,A1,misc
smrt,death,kost,A2,misc
čas,time,hrad,A1,time
láska,love,žena,A1,misc
štěstí,happiness,stavení,A1,misc
problém,problem,hrad,A1,misc
otázka,question,žena,A1,misc
odpověď,answer,kost,A1,misc
pravda,truth,žena,A1,"misc,abstract"
svoboda,freedom,žena,A2,"misc,abstract"
doba,time,,A1,time
místo,place,,A1,places
strana,side,,A1,misc
země,country,,A1,places
případ,case,,A2,misc
svět,world,,A1,places
cesta,way,,A1,misc
část,part,,A1,"misc,abstract"
konec,end,,A1,time
chvíle,while,,A1,misc
způsob,way,,A2,misc
společnost,company,,B1,misc
řada,turn,,A1,misc
koruna,crown,,A1,misc
možnost,possibility,,A1,misc
stát,state,,A2,places
skupina,group,,A1,misc
cena,price,,A1,misc
systém,system,,A2,misc
oblast,area,,B1,places
situace,situation,,A2,misc
většina,majority,,B1,misc
firma,firm,,A2,misc
jméno,name,,A1,misc
příjmení,surname,,A1,misc
důvod,reason,,A1,misc
změna,change,,A1,misc
síla,force,,A1,"misc,abstract"
výsledek,result,,A2,"misc,abstract"
pohled,look,,A2,misc
zájem,interest,,A2,"misc,abstract"
vztah,relation,,A1,misc
informace,information,,A2,misc
stav,condition,,A2,misc
základ,foundation,,A2,misc
podmínka,condition,,A2,misc
služba,service,,A1,misc
zákon,law,,A2,misc
počet,number,,A1,misc
tvář,face,růže,A1,body
právo,right,,A2,misc
začátek,beginning,,A1,time
pocit,feeling,,A1,"misc,abstract"
